"pagina","texto","error"
11,"LS CIS CIS CIS CIS CIS CIS Co IS E
Mal més matinetjar que a missa ana) P
—— LL A OO Ll  ———

i Xesc i En Lau eren dos traginers manaco-
rins, d'aquell temps que hi havía pocs carros

ferm i encara de roda plena. Tiraven a Ciu-
tat i a Sineu amb muls ensellats.

En Xesc era tan atectat d'anar a missa, que hi
anava es dies feners i tot, per poca lleguda que
tengués. Ara an En Lau li venía tan just tan just
anar-hi es diumenges de correguda, i casi mai e-hi
era a temps.

Eren amigots, i un dimars hora baixa se troben,
i En Xesc diu:

—i Que pegam a Sineu demà2

— jJja hu creci

—ldò en sortir de missa d' auba.

—qEn: sortir de missa d'auba, m'has dit2 Ell

, a-les-hores jo ja seré passat Petra.

—iCa, homol A missa primer, i llavò partim
amb la pau de Deu.

(1) La'm contaren el sen Pere Gotze de Manacor, i En Toni Garrit i
En Juan Puça de Sant Llorenç des Cardessar.

Tom lll—1
all
",NA
12,"2 RONDAIES MALLORQUINES

—No 'm vengues amb paus ni amb paues. Val
més matinetjar que a missa anar.

—iSabs que vas d' erratl

—Ell no hi vaig cap mica. No res, si vols venir
amb mí, una hora antes de s' auba es sa partida. Í
Si no, jfins a Sineul A re-veure i bona nitl

En Lau feu tenir vera sa seua paraula: una hora
antes de s'auba ja: estigué aixecat, posa 's tres
sacs de blat demunt es mul, i de d' allà.

Devant So 'n Pere Andreu (1) me troba un homo
embolicadot amb una flassada, dormint a sa vore-
ra des camí. Encara feia fosca, es mul té por,
pega bot per enrera, i amb sa satsada li cauen
dos sacs: amb so fufup se desfermen, i de part a ""
part des camí tot anà blat, i per ategitó hi havía
un paum de pols, i En Lau, fet un Nero, crits i
tlastomíes i potades demunt es capell.

Si aquell qui dormía no té sort de despertar-se
tot-d' una i d' esser un homo de pa i tros, que ret-
girava es veure'l no més, en Lau s' hi aborda, i
el feia difunt. l

No s'hi abordà, però no hi hagué paraulota
lletja que no li entlocéàs.

Aquell tenía sa sang de peix, i el deixa en ban-
da, com Si res fos estat.

En Lau arribà a veure que tlastomant no aven-
çava cap passa, i que lo més avengut era aplegar
es blat abans de més raons. Però estava tot mes-
clat amb pols i macolins, i eren necessaries totes
ses erbes de Sant Juan per netetjar-ho.

Al punt compareix En Xesc, que ja era estat a
missa, i se'n venía amb so mul i sa somada, tot
xelest, cantant com un rossinyol.

(1) Possessió de devora Manacor. :
",NA
13,"CVAL MÉS MATINETJAR QUE A MISSA ANARP. 3

—jCom es vel'la crestal diu quant veu En Lau
d'aquella manera. il jo ja te feia passat Petral él
que diantre es estat2

En Lau le hi conta, i ell diu:

—No res, dona gracis a Deu, que es estat lo
més poc que poría succeir, i Deu no mos n' envii
de pitjors. Aquí lo que hem de ter, anar a manlle-
var un garbell a So 'n Pere Andreu, e-hu porgam,

i si Deu ho vol, encara hi serem a temps an es
mercat.

Ho feren axí, i, com tengueren es blat net i en-
sacat i partiren, ja era una hora es sol alt. l

Camina caminaràs, En Xesc surt ab aquesta:

—el encara diràs, Lau, que val més matinetjar,
que a missa anarl/

—iVaja si hu dirél ijVeiès aont sería Si no trob
aquell dimoni d' homo adormitl

—Però l' has trobat.

—iNo, i el dec haver trobat perque no som
anat a missal Sobre tot, unes messions te pos que i
jo tenc raó.

—l éque hem de posars

—Sa somada.

—Posada està.

—lI hu ha de dir es primer homo que trobem.

—lIdò hu dirà es primer homo.

Justament e-hi hagué per allà un dimoni desen-
feinat, que s' arruixava ses mosques amb sa coa.
Los sent, i pren sa figura d' homo de molt de res-
pecte, i com qui no n' es, los surt a P encuantra.

—Germà, li digueren, eque vos cauría molt tort
escoltar una paraula

—Ni gens, maldement sien dues: digau. 4

—Idò noltros som dos traginers de Manacor,

l ll
",NA
14,"4 RONDAIES MALLORQUINES l
que mos n'anam a Sineu an es mercat, i argu-
mentàvem sobre s' hora des partir si valia més
matinetjar que a missa anar.

—iiiA missa anartll exclama aquell, fent uns
estabetxos i unes carusses com si li haguessen
tirada una escudella de vinagre ben fort dins sa

boca. dA4 missa anar, m' heu dits el qui serà sa
besti que no veja que haver d' esperar sa missa
es massa enredós2 i que's sol per força llavò li
ha de sofregir es cervelll

Aquell estrúmbol seguí sa seua via sensa dir
cap paraula pus, i En Lau que cridava, cuidant a
fer ui d' alegria i tirant es capell a l'aire:

—eQue tal XescP eque l'has sentit an es ros-

: sinyol2 jMeues son ses dues somadesl Bon jornal
hauré guanyat avui, i sensa anar a missal

En Xesc al punt, més cremat que una monea,
romp dient:

—el que t has figurat tu ara  eQue hi fa que
t hagen donada sa raó, Si no la tensP

—eAi no la tencP eQue vols que 'n posem unes
altres de messionetes2

—Ses que vulgues.

—ldò es dos muls.

—Posats estén.

—dEstàés conforme que hu diga es primer homo e
que tornem trobar

—iSí que hi esticl

Ja eren devora Petra, i el dimoni ja hu crec que
pren una forma d' homo un poc diferent de s' altra
vegada, i los surt a camí.

—Escoltau, germà, li diuen com el topen: vos
qui mos pareixeu un homo de bé...
—Lo que 's diu envers. d' això, no 'm don per

qui alena.
",NA
15,"dVAL MÉS MATINETJAR QUE A MISSA ANARP. 5

—ldò noltros som dos traginers de Manacor,
que mos n'anam, a Sineu, an es mercat, i argu-
mentàvem sobre: s' hora des partir Si valía més
matinetjar que a missa anar. A veure vos que
trobau. l

—el que he de trobarP respòn aquell amb uns
uis que li espiretjaven. Trob que anar a missa es
un desbarat i no poc gran. jA sa teinal ja sa feina
falta gent, i tora maltenerandosi €No trobau que l
n'hi ha prou de mans tentes i d' esquenes dretesP

En Barrufet los deixa en banda fent com que
seguir sa seua via, i En Lau que tornava a ter un

escàndol de: crits i bots d' alegría, i venga es ca-
pell a l'aire, i no s' aturava de dir:

—eQue tal, XescP éque l'has sentit an aquest
altreP Meus son es dos muls. iSí que hauré gua-
nyat bon jornal avui, i demunt ses teues costelles,
Xesci cAh idò2 iPose 't-hi amb sos qui no van a
missal

Per dins Petra, per que la gent no se 'n temés,
se returà una mica d' amollar fisconades, però tot
d'una que deixaren es poble, va reprendre més
fort.

En Xesc acaba sa paciencia de tot, i diu a la fí:

—iHauríes de veure si calles, que ja m' has teta
giteral iTan boig éts tu com aquells dos que
t han donada raól La t han donada: però la tens
tant com sa coa des moix.

—Lo que es cert ben cert que tu ja no tens sa
somada ni es mul.

—Però encara es més cert que jo tenc tota sa
raó. ,

—Així, gallet, i bons tocs per sa crestal iNo 't
dons, homol jno 't donsi

Ll
",NA
16,"6 RONDAIES MALLORQUINES

—iTe dic que val més anar a missal

—l jo 't dic que no, i te torn posar messions.

—I éque hem de posarè

—iTots quants de doblers duiml

—iPosats estànl

—lI hu dirà es primer homo que trobem.

—ildò que hu diga:

Ja hu crec que el dimoni fonc ben falaguer de
prendre una forma per l' estil de ses dues vegades
passades, i pareixía que per un consei havía d'
esser més destre que Salomó.

—Escoltau, germà, li digueren, com el toparen:
vos qui mos pareixeu un homo de bé...

—l poreu estar ben segurs de que es sol no n'
escaufa un altre com jo.

—IJdò heu de sebre que noltros som dos tragi-
ners de Manacor que argumentàvem sobre s' hora
des partir si valía més matinetjar que a missa
anar.

—3A missa anar, m' heu ditl exclama aquell tot
escarrufat. ija 'n posareu un tros dins s' olla de sa
missal jja n'arrambareu un parei an els amos d'
ont preniu es blat per que vos faça pagamenti...
cAnar a missaP... iMatinetjari imatinetjarl jAixò
es lo que interessal

Es polissó, tot-d' una d' haver dit això, feu com
que seguir sa seua vía, i prompte no 'n veren la

pols.

En Lau no sabía que 's feia ni que 's deia d' ale-
gría, botant i cridant i venga es capell a l'aire,
En Xesc se pegava tocs p'es cap, i no hi poría
donar volta que tres homos de respecte haguessen
pogut dir amb dret seny que valía més matinetjar
que a missa anar.
",NA
17,"GVAL MÉS MATINETJAR QUE A MISSA ANARP. 7

Se destira des serró, l'entrega, i ja no passà
pus envant: no hi tenía cap feina a Sineu. ,

Caminà una bona estona sensa camí ni carrera,
sensa sebre quin cap li anava devant. Hora baixa .
de tot, topa a una cova, e-hi entra, i veu una
grandiosa campana en-terra, tota esmorrellada i
amb un parei de trencs, que hi poría passar sa
mé bellament.

—Sobre tot, diu En Xesc, aquí haurem de ter
sa nit. No puc ter cosa millor que ajocarme devall
aquesta campana, i així estarem segurs.

Troba per allà un mantí d'arada, fa palanca,
alça sa campana d' un costat, i zasi ja hi es devall. l

Amb sa rabiada que havía presa i amb so can-
sament que duia, s' adormí com un tronc.

Devers les dotze de la nit ses rates ja li corríen
a les totes per dins sa panxa, i sa tam el despertà.

Pensa qui pensa de quin cap taría estelles, sent
trepig, guaita per un trenc de sa campana, i me
veu un escabotell de dimonis que se'n veníen tots
xarpats. Es qui teia la capa, era com una torre,
amb un banyam de set braçes i una coa ben en-
ravanada, que li donava set voltes p'es cos. De
ses ungles no 'n parlem: a cada una poría dur be-
lament un homo ponxit, lo meteix que dur una
pampayola. l l

S' assegué demunt sa campana, i quatre dimo-
nis el ventaven amb sarries buides per ferli un
poc de tresca. Pantaixava a les totes: se veia que
venía molt encès, i més cremat que un cabo de
realistes.

Tots fora ell tremolaven i no de tret.

Se posen a comparèixer dimonis i més dimonis
de ses quatre parts del mon, i tots donaven comp-

a
",NA
18,"8 RONDAIES MALLORQUINES l

te de tot quant havíen emperiolat aquell dia, de

ses ànimes que havíen tentades, de ses que havíen
fetes anar de redolons, de sés families que havíen
desavengudes, des matrimonis que havíen esbor-
dellats, de ses cunyades, sogres i nores' que havíen
fetes gatinyar, des tilacs i paranys que havien pa-
rats i de ses pesqueres que havíen escades i s' hi
esperava pescada grossa.

Assetsuaixí se 'n entrega un, bras sonant i oreia
fumant, amb una coa ben enravanada, que en lloc
de penjar gota, prenía cap amunt. L

—iBon vespre, senyor Satanàsi li diu tot ra-
bent, d'un tros enfora. di

—Ola, estornelll cQue mos dus de bo 3 —

—iJja duc jal P'es camí de Manacor a Sineu
m' he trobats dos traginers que argumentaven Si
valía més matinetjar que a missa anar. Un deia
que Sí, S'altre que no, han posades tres voltes
messions, i es primer homo que encontraríen ha-
vía de fer sa sentencia. Jo me'n tem, prenc sa
forma d' homo, i cada vegada los surt, i sentencii
contra es qui deia que valía més anar a missa. Es
qui deia que no, ara estarà més fort que mai a no
anar-hi: s' altre ha presa una rabiada teresta: i no
mos ha de costar gaire girar-lo contra sa missa i es
qui la posà.

—jiBé mos val jbé mos val clamen tots, fent
estabetxos, xecalines i avalot per llarg.

—j Callau, males besties, que ja m' heu fet mal
de capi diu es gros, i enfloca aquesta an es de
sa coa.

—iVajal així meteix t has guanyat es pa avui,
però mira: jjà pots estar alerta que no mos esca-
pin aquests dos tordsi Si te fugen, qui hu pagarà

Ll
",NA
19,"dVAL MÉS MATINETJAR QUE A MISSA ANARP — 9
serà aquesta coa, que dus tan enravanada: la t'
hem de taiar amb una destral a trocets a trocets,
fins que 't romanga gens de rabacell.

Encara no havía acabades aquestes comendas-
sions, com se'n presenta un altre de bell-tresc,
més falaguer que una espira, amb un nassarrot,
que, sensa ponderar gens, devía tirar tres paums
de llarg, i p' ets arenells li sortíen dos bolics de se-
rres just pues de porc singlar, i d'un tros entora
pega crit:

—iBon vespre, senyor Satanàsi

—iOla, estornelll respòn aquest més serio que
una patata, éque mos dus de bo

—Que he feta una tibada d' ànimes, que no se-
ràn tot berbes.

—Explique 't una mica més.

—ldò anit passada vaig embossar sa font de
Santa Margalida de Felanitx, que tot es poble en
beu. Com avui dematí la gent se'n es temuda,
hi ha hagut un viva 'l rei. Han provat de desem-
bossar-la, han ponyit d'un vent i de s' altre, e-hi
son anats terrers i picapedrers i els homos més
intesos des poble. Ningú ha tenguts dits per llevar
s' embós. Aquí jo m'hi som posat per mig per
envitricollar-ho de casta forta: faç néixer dins uns
sospites dels altres sensa cap ni peus, al punt ja
les s' han tirades per la cara per que no los fessen
mal dins es gavatx, ses sangs se son encalentides,
i prompte a cada carrer hauríeu vistes bregues,
estira-muixell per llarg, tlastomíes a carretades, i
paraules lletges a tortollons, morros esclatats, ca-
res ungletjades, cambuixos tora, rebosillos esqui-
xats, gonellons fets benes, flocs de cabeis arra-
baçats, caps romputs, braços i peus tora des

ul
",NA
20,"10 RONDAIES MALLORQUINES
lloc, braverols, oreies foradades, nassos que no
seràn pus lo que eren. Allà hauríeu vist repartir a
l'uf nesples, serves, cireres, castanyes, cebes, ma-
talotades, xisclets, galletes i tota classe de bes-
cuit. Es estat ferest. Lo que 's diu aquesta tapada
de font serà un negoci per noltros amb totes ses
campanilles. eQui sab sa ganancia que hi porem
fer i es nombre d' ànimes que porem enforcar amb
una mica d' esment que hi tenguemP

—iSí que es verl isí que té raól /oiva/ jviva/ ex-
clamaren tots tent un escàndol de crits i giscos,
que pareixía que Il mon se 'n havía de venir, fins
que 'l dimoni gros los entloca aquesta:

—jCallau, males bestiesl que ja m' heu fet mal
de cap.

—el que no la sabràn desembossar a sa fonts
diu un dimonió.

—iQue han de sebre, homol diu es nassarrut.

En no rentar s' ui de sa tont amb un vell de llana

negra, no se desembossarà, i jiquins estàn es tala-
nitxers per pensar-se aquestal

—No res, diu es gros, axí meteix t' has guanyat
es pa avui, però... jja pots estar alerta que aquesta
pesquera de Felanitx tan ben escada, no la mos
desbaratin o que altri no se 'n duga 's peixl Que
si mos fan un tal, qui ho pagarà seràn aquestes
serres que't surten p'ets aranells i llavò aquest
nassarot que me tens. Ses serres les t' arrabaça-
rem a tirades d'en una en una, i es nas per lo
meteix, estirant-lo-te amb unes tenaies fins que
botesca.

Encara no havía acabades aquestes comendas-
sions, com se 'n presenta un altre tot falaguer, que
casi no tocava amb sos peus en terra. Passetjava
",NA
