"pagina","texto","error"
82,"72 RONDAIES MALLORQUINES
Camina caminaràs, hora-baixa de tot, veu un
llumeneret blau, lluny, ben lluny, i exclama:
—jUn llumeneret blaul
iE-hi arribarem si a Deu plaul
E-hi arriba, i foren unes cases blanques.
També hi va haver una dona demunt es portal.
—jAlabat sía Deul diu ell.
—iPer a semprel diu ella. Que cercas per aquí,
Bernadet2
—L amor de les tres taronges. çNo 'm diríeu
per ont para, germanetaP
—Jo no hu sé, tii meu. En no esser que hu sa-
bés es meu homo, que 's gigant
i amic d'un drac
que tot lo mon tresca
que tot lo mon sab...
—ldò ell es fàcil que hu sapia. Si me deixaveu
romandre, le hi poríem demanar.
—Però ell es gigant, i te menjaria.
—Si volíeu, me poríeu amagar a part o banda.
—e Te '""n aconhortes que 't pos a tu devall s' es-
cudelleta de brou i es cavall devall es cassolí de
fer s' amidóP
—Sí que me 'n aconhort.
Los hi posa, i des cap d' una mica s' entrega es
gigant, amb unes bones passes.
Ensuma qui ensuma, se posa a dir:
—iSent olor de carn humanal
jja 'n menjarem aquesta setmanal
Qui es passat per aquí2
iSent olor de carn humanal
iJa 'n menjarem, Si 'l dimoni no mos enganal
:Qui es passat per aquí2 I
",NA
83,"L'AMOR DE LES TRES TARONGES 73

—Un bou vei, diu ella, i li he taiades ses cui-
xes, i les t' he rostides.

—ldò cper que no les me treus que duc una
fam que m' alça.

—Sí, ell lo que 's diu tu no importa que t' untes
es quixals de vinagre... T' acabarías un llinatge.

—iVaja si ""m dus ses cames de boul

—iEll has de tastar ses favetes primerl jM' ho
haguesses comanat avui dematí, Si no les t' havíes
de menjarl

—iHala, idò, ses favesl... iDepressa:

—ija les te durél... ij Ten un poc de paciencia,
que la Mare Priora en tenía i la batculaveni

Li du una cuinada de cortera, i una postada de
pa, que era sa seua racció, i li diu:

—iVaja si t hi tas sopes i t' assaciaràs un poc
mési

Se 'n hi fa set pans, e-hi aboca ses faves: i idas-
sa qui dassa bons budoixosi al punt les tengué
totes dins l ànima.

—iVenguen ses cuixes de boul diu ell, com en-
cara tenía Sa boca plena.

Ella les hi du, i aviat les tengué escloveiades. l

—Que no tens gens d' ensiam2 diu ell.

—Set cossis.

Los hi posa demunt sa taula, s' hi aborda, i no
hi deixa ponedor.

—çAmb-e que m' he de torcar ets morrosP

—Amb so sarrió.

El despenja, i bones tregades p' ets morros, que
casi s' arragussava sa pell.

Llavò diu:

—cAmb-e que m' he d' escurar es quixalsP

—Amb sa barra de sa porta.

di
",NA
84,"74 RONDAIES MALLORQUINES

Era una barrota de set roves, i ja la s'afica
dins sa boca, i ponyida ve, i ponyida va.

Redó, que no podía dir pruna, se'n va a jeure,
i sa dona ja li demana:

—l ètu no sabs per ont caplleva / amor de les
tres tarongesP

—jiMassa que hu sél Des que som nat, la guart
amb sis més.

O —eLa guardes, i no m' ho havías ditP

—No hu havías mester sebre.

—iSabs que hi vas d' erratl... Nores, per càstic
diguem-ho ara. ,

—j Per vos son fetes ses monges d' Incal iPer
paga voltros dones sou tan trempades per guar-
dar un secretl... jell sou tan callades com ses
campanesl

-—iVaja, diguem-hol idepressal

—iSabs que has de fer2 Callar, que tenc una
son que'm roega, i no'm vengues en. recapito-
letjar.

Sa dona va veure la mar bruta, i se posà un
punt a sa boca. l

Ell s adormí com un sauló. Ara ella jses derre-
res que tengué d' aclucar ets uist

iMassa ell li covíen amb so pebre de / amor
de les tres taronges/

iSabeu que li va caure de tort que's gigant no
li hagués volgut dir aont eral

Arribar a tenir-ne tant de mal de ventre, que,
pensa qui pensa com el se poría espassar, a la ti
s'aixeca, se'n va a dur Sa barra de Sa porta, i
enfloca barrotada devers es morros des gigant.

—jiiAilil digué ell, escapant-li un bramul es-
glaiador. cQui es qui m' ha pegat
",NA
85,"L'AMOR DE LES TRES TARONGES 75
Sa dona amaga sa barra devall es llit, i diu:
—iEra jo, qui somiava que vos preníen /' amor

de les tres tarongesJ

—iBestia, més que bestial diu ell. dQuin possi-
ble es que la mos prenguen, si per. arribar-hi han
de passar un camp de formigues, un camp d' ani-
mals terosos, un altre que hi ha una serp de set
caps, i llavó una murada de setanta pams2 Passat
tot això encara venim noltros, qui som set de día i
set en sa nit, ajaguts abaix des taronger que té
l amor de les tres taronges an es brot de més
amunt. Í per enganar la gent, en dormir tenim ets
uis badats, i en no dormir los tenim clucs. Veiés
com el mos han de porer prende an es brot de tres
tarongesi Ja pots estar ben descansada jal No 'l
mos pendràn... Sobre tot, encén es llum, i mirem
dins aquesta boca, que per mi no serà pus lo que
era.

Ella encén es llum, li mira dins sa boca i li va

haver tomats
set aumuts de dents i set de quixals,
però encara n' hi quedaren altres tants.

—iRe cent mil carrerancs de carretades de di-
monis cucarellsi diu ell, com veu tanta destroça.
iOhl si no fosses ma muller, no 't valdria Sant
Pere: te menjaval Sobre tot, miret-hi més en so
somiar una altre vegada, Si no tens sa vida avo-
rrida.

Ja hu crec que En Bernadet no 'n perdé cap de
paraula d' aquestes. iMassa ell escoltava arreul

Es gigantot lo endemà, abans de s' auba, ja li
hagué envelat cap a guardar l' amor de les tres
taronges.

r dl
",NA
86,"16 RONDAIES MALLORQUINES
Sa dona alça s' escudelleta de brou i es cassolí, l
i surten tots xalests En Bernadet i es cavall.
En Bernadet digué a sa dona: l
—Deu vos pac lo que hu tet per mi: i en coses
que siem bons, manau i disponeu.
—Deu te guart de tot perill, Bernadet, diu ella:
i Ell te do tanta ventura com desig per mi me-
teixa.
—Amen, i amb Deu siau, diu ell.
lja està demunt es cavall, i de d' allà s' ha dit. l
Camina caminaràs, topa a un riu, i a Sa vorera
hi havía una veieta, qui com que provés de passar, . l
i ja s' escometen: l
—Alabat sía Deu, germaneta. l
—Per a sempre... iOh. Bernadet, fii de reil etu /
ets2
—Jo som. I equé volíeu ter araP
—Passar aquest riu.
—iCa, donal Vos ne duría. Esperau, vos possa-
ré a ses anques des cavall.
La. hi posa, dona an es cavall per dins es riu, i
dins un instant ja fonc a s' altre part.
Sa jaieta tot d' una devalla, i diu.
—iOh Bernadet, quin favor m' has fetl i(Deu del
cel el te pot pagar i no mési l Ú
—Això no es cosa, germaneta. Si voleu res
puS.....
—Que ""m digues aont te 'n vas per aquests pa-
ratges, i tal volta te poría dar un camí.
/ —A veure si trobaré P amor de les tres taron-
ges, germaneta. Ja 'm tarieu un gros favor si 'm
déieu aont para.
—Dins es llevant. Ves sempre tot dret cap allà
ont veges Sortir es Sol.
",NA
87,"L'AMOR DE LES TRES TARONGES Ti

—Me diuen, germaneta, que he de passar un
camp de formigues, un d'animals ferosos i un
que hi ha una serp de set caps, i que llavò hi
ha unes portes de bronzo que sempre portetgen i
no deixen passar ningú.

—l ben ver que es, Bernadet.

—il com ho hauría de ter perque ses tormigues
no 'm diguessin res i me deixassen passar2

—Du-los blat.

—el an ets animals ferososP

—Euveies i anyells.

—el a sa serp de set capsP

—Set gerres de llet.

—el a ses portes de bronzo2

—Unta-los es gautons de sdím bó, i s' aturaràn
de portetjar i de ter renou, es gigants s' adormi-
ràn, i tu porés fer sa teua vía.

—iPer amor de Deu sía, germanetal diu En
Bernadet, i li dona una grapada de dobles de vint.

Sa veieta se posa sa ma a sa butxaca, i se treu
tres rodetes de floc, una verda, s' altre color de
cendra, s' altre rotja, i llavó un bolic de cotó.

—Jas això, diu ella. Per entrar dins es jardí,
per que no 't senten, posaràs aquest cotó ú ses
potes des cavall, i quant t encalsen, si veus que
ja t agaten de tot, amolla aquests tlocs. No res,
Bernadet, fes sa teua vía, i que Deu te guart de
perill, i te deix arribar allà ont tu vols.

—Amén, diu En Bernadet.

l ja es partit ben acanalat cap a llevant.

Camina caminaràs, troba un traginer amb un
mul i tres sacs de blat.

Li compra es mul y sa somada, i ihala per en-
devantl
",NA
88,"78 RONDAIES MALLORQUINES

Camina caminaràs, troba un pastor que pastu-
rava un centenar d' euveies, les hi compra, les se
passa devant, i de d' allà s' ha dit.

Camina caminarés, topa a un hostal, e-hi compra
set gerres somerals i una olla de saim: muny ses
euveies, i umpl ses gerres de llet, i amb tot aquest
carro-portal ihala per envantl

Camina caminaràs, a força de cercar, arriba a
trobar es camp de formigues, que negretjava de
tantes que n' hi havía: teien tel per tot, no veien
gens sa terra.

l equé fa En Bernadet2 Descarrega ets tres sacs
des mul, i ja es partit escampa qui escampa blat,
i... fins que l hagué escampat tot.

Ses formigues s' aborden an es blat, i vos asse-
gur que n' hi hagué de teixina.

Ja no s' empatxaren de res pus, i En Bernadet
pogué passar de lo millor amb so cavall, es mul i
ses euveies.

l Arriba en es camp d' animals ferosos. Fa passar
ses euveies devant, i elles pagaren la testa.
Aquells animalots s' hi abordaren tot atamegats, i

I vos assegur que les hi trobaren saboroses, i ets
. —Troissos que feren foren molts pocs.

Ja no s' empatxaren de res pus, i En Bernadet
pogué passar de lo millor amb so cavall i es mul

amb sa llet.

Arriba en es camp de sa serp de set caps, que
hi va compareixer amb totes ses barres ubertes,
i amb uns ciulos que 's cabeis s' arrissaven.

En Bernadet li presenta ses set gerres somerals
plenes de llet, s' animalot atica un cap dins cada
gerra, i allà, gloc, gloc, beu qui beu llet, sa més
descansada del mon.
",NA
89,"L'AMOR DE LES TRES TARONGES 9
iSabeu que l' e-hi trobava de bonal Te Va
No li llevía gens alçar es cap ni girar la vista

entorn.

ija ho crec que En Bernadet pogué passar de lo
millort

Ja veia es jardí de / amor de les tres taronges:
sortíen ses rames d' ets abres i ets brolladors part
demunt sa gran paret, deixant anar una oloreta i
una frescor que tot allò embalsamava.

Ja era devant ses portes de bronzo, que no se
donaven raó a obrir-se i tancar-se, i com que se
haguessen d' estallar amb sos fufups que teien,
que resplandíen dins es cervell, i amb so rac arrac
des gautons, que hauríen escarrufat un ase retut,
quant i més un cristià. Se coneixía que hi anaven
ben alerta a untar-les.

En Bernadet s' hi acosta, se treu S' olla de saim
bo, i de dalt es cavall unta ben untats es gautons
des mig i de més amunt. Bota, i unta es de baix:
i e-hi posta tot es saim.

Qué me ""n direu

Ell aquelles portes, lo meteix que si los hagues-
sen donats dormissons, s'aturen cop en sec de
portetjar i de ter estrai, i romanen mig ubertes i
mig tancades, lo meteix d' adormides.

També s' adormiren ets gigants amb so parar
aquell telabastaix, i devers les onze que eren, s'
hora que sa son petxuca més tort ets qui estàn
mans fentes.

En Bernadet embolica i ferma es cotó per ses
potes des cavall, i ja se'n entra dins es jardí,
sensa fer petjades casi casi: i cap an es taronger
des migl que 'l veien de per tot, de alt que era i
de vorjo que duia.

T A
— Pi
Opera cs
FOR so
",NA
90,"/
I
80 RONDAIES MALLORQUINES
Al punt e-hi va esser devora, i e-hi afina ets set
gigants, enrevoltats de sa soca, ajagudots, badant
uns uis com uns platets.
S' hi acosta de puntes de puntes, sensa alenar
casi casi: se senya tres vegades, s' enfila com un
aranyó per sa soca, arriba an es brot de ses tres
taronges, el cui, devalla, pega fua cap an es cavall,
i ja hi està demunt, i venga esperonada i altre, i
es cavall de quatres, i de d' allà.
Amb sa mica d' estabeig es gigants se desperten,
i me veuen aquell qui fuig i es taronger sensa es
brot de ses tres taronges.
iOh quin bramul que pegaren i quin botl
—iNo la mos ha feta, que no la mos hagem pen-
sadal diuen cridant com a locos i amb unes flesto-
míes qui socorraven.
l lia han pitjat derrera En Bernadet tots set,
E) brandant cadasqú una barrota de set quintars.
La hi tiraven per capturar-lo, però no ""I feriren.
Com veren que ja anava a passar ses portes de
bronzo, se posen a cridar: l
—iÓ portes, aturau aquest polissó, que mos l
pren / amor de les tres taronges/ l
—iAturar-lo2 diuen ses portes. Ell ningú mai
mos havía untades ni de morques, i ell mos ha
untades de saim ból... jQue pasi
ls obrin de pinta en ample i el deixen passar
com si tos estat el rei, tot dient-li:
—ilUal Bernadet, que no t' agatenl l
Il En Bernadet de d' allà per dins es camp de sa l
serp de set caps, i ets set gigants correns derrera, I
fent tlamada, tirant-li ses barrotes, però mai el po- I
ríen endivinar.
—iO serp, atura aquest polissó, que .mos roba I
l amor de les tres tarongesJ
",NA
91,"L'AMOR DE LES TRES TARONGES 81

—péAturar-loP diu sa serp. Ell ningú mai m' ha-
vía duit un glop de llet, i ell me 'n ha duites set
gerres someralsi ijQue pasi

Í sa serp el deixa passar sa mes lleal del mon,
tot dient-li:

—ilUà, Bernadet, que no t' agatenl

l En Bernadet de d' allà per dins es camp d' ets
animals terosos, i ets gigants derrera ell, cuidant a
fer ui de córrer, i tira qui tira ses barrotes, però
sempre errant es tir. l

—ijAnimals terosos, parau aquest polissó que
mos pren /' amor de les tres taronges/

—eParar-lo2 diuen ets animals terosos. Ell nin-
gú mai mos havía duit un os, que es un os, i
ell mos ha menada tota una guarda d' euveies
i anyellsi jQue pasi

l el deixen passar, i tots li diuen:

—ilUà, Bernadet, que no t' agatenl

l En Bernadet de d' allà per dins es camp de
formigues, i es cavall que volava, i ets gigants
correns derrera, tant com en poríen treure, i ba-
rrotes al aire, però mai teríen En Bernadet, ni
d'un bon troç.

—iFormigues, parau aquest polissó, que mos
pren /' amor de les tres taronges/

—éParar-lo2 diuen ses formigues. Ell ningú mai
mos havía duit gens de blatet, i ell mos n' ha duits
tres sacs ben grans i ben plensi ijQue pasi

l el deixen passar, tot dient-li:

—jUà, Bernadet, que no t' agatenl

l En Bernadet bones esperonades an es cavall,

i es cavall qui rebotía, i amb cada llongo feia set
destres. I
Tom llI—6
P.
",NA
92,"l l
82 RONDAIES MALLORQUINES a a
Ets gigants aquí digueren: —.
—iNo, ell si no deixam ses barres i no hu feim
de tot, no'l plegaremi jEll corre mes que I di-
monil l l
Deixen ses barres, i, ihala petitsl tots set .derre-
ra En Bernadet. Ú
iVos assegur que hi debanaven ben aviat i que
""n feyen de carreral l
En Bernadet se gira, i veu que li reprenen una
cosa grossa, i que promte li seràn demunt.
Se treu sa rodeta de floc vert, la desta, los ho
tira: i aquell floc torna un camp de gatoves, arge-
lagues, esparagueres de gat, donardes, roma-
guers, garanyoners i cirerers de bon pastor, tots
reblits de púes. Les teníen més espesses que 's
cabeis des cap, i ben afuades que eren i ben llar-
gues. Feien cara de mes aficadisses que un ca
de bou. l
Ets gigants no hi repararen gens, però com e-hi
varen haver caminat un troç, tengueren. peus, ca-
mes i cuixes com un llatze, de tantes púes que
s'eren aficades, sa sang ratjava a la vela, no hi
tenien repòs.
S'aturaren a desticar-les-se, però com partíen
de bell nou, ja se 'n tornaven aticar set deus.
Amb lo sorts que eren de pell: i amb sa rabia
que duien, a força de potoiar i de palancatjar,
passen aquell camp.
En Bernadet casi ja no'l veien. Tornen partir
ben correns, ben correns, i isabeu que 'l feren d'
envantl
En Bernadet se gira, i los se veu demunt. ,
Aquí desfà sa rodeta de floc senrós, les ho /
amolla, i aquell floc torna un camp de fuies de
: l
",NA
93,"L'AMOR DE LES TRES TARONGES 83
trinxets, guinavetes, serres i destrals amb so tai
per amunt.

Ets gigants no hi repararen gens, però, com se
sentiren aquells tais que los entraven dins sa carn
viva, jo quins bots i quines revinglades que pega-
ven, i quins bels i bramuls que feient

Al punt tengueren peus i cames plens.d' ubertes
i tais, i Sa sang que los ratjava roi seguit.

Així com pogueren, sortiren d'aquell camp,
però tan entforiolats anaven, que no hi pogueren
consentir de deixar fogir En Bernadet: i ja torna-
ren esser partits, coixeu coixeu, derrera ell, fent
de la guerra pota.

En Bernadet tenía es cavall cansat i mort, que

- — NO poría pus.

Se gira i los veu que encara se 'n venien, i feien
més vía que ell.

Aquí destà s' altre rodeta de floc roig, los ho
tira, i aquell floc torna un camp de brases ben es-
pesses i ablamades.

Ets gigants, que ja no hi veien de cap bolla ni
sabien que 's feien ni per ont caminaven, s'afican
dins aquell camp, i allà los n' hauríeu vists pegar
de bots i xecalines, i fer-ne d'esquerevits i rebel:
lades. Sabeu que xuclaven de fort, i quins ais i
quins remeulos los escapaven més esglaiosos i
aborronadors.

Per encapironats que estiguessen a passar en-
vant, aquelles brases los capturaren, tan si vol-
gueren com si no volgueren: un derrera S' altre
varen caure, graponetjaren i se bolcaren una

: estona, de rabiosos que se veien: i allà fent xiu
— xiu, colaren tots la vida.

Com En Bernadet va veure que ja no n' hi ha-

ao
",NA
94,"84 RONDAIES MALLORQUINES
vía cap que l' encalçàs, atura es cavall per repo-
sar una estona.

Estava abrasat de set, i li vengué s' idea de
xapar una taronge.

La xapa, i hi hagué de-dins una fadrineta com
un sol, sa cosa més garrida que se tos vista mai.

Encare no va esser Sortida, com diu:

—iBernadet, Bernadet, dam aigo: si no, m'
autecl

No n'hi pogué donar perque no 'n tenía, i la
pobreta tors es coll, i morta.

Figurau-vos quin esglai se 'n degué dur En
Bernadet. jO quina pena que teníal

Torna pendre es tapins cap a ca-seua, i de
d' allà.

Camina caminaràs, com més anava, més li re-
venia sa set.

Com no pogué suportar-la pus, va dir:

—Xaparé una altre taronge, i serà lo que Deu
voldrà.

La xapa, i també hi va haver de-dins una fadri-
neta com un sol, que, Si guapa era estada S' altre,
més e-hu era aquesta, però d' un bon troç.

Í digué tot d' una:

—iBernadet, Bernadet, dam aigo, si no, m'
auteci

No 'n tenía gens d'aigo, no n'hi pogué dar, i
ella tors es coll, i morta.

, Figurau-vos quin altre esglai p' En Bernadet.
Se pensava morir-se de sa pena que tenía.

Torna pendre es tapins cap a ca-seua i de
d' allà.

Camina caminaràs, sa set sempre anava aumen-
tant, i no era sofridora per cap vent del mon.
",NA
95,"L'AMOR DE: LES TRES TARONGES 85

Ja n'hi veníen de ganes de xapar sa taronge
que li quedaval... però va dir:

—Fins i tant que trop un pou, no l he de xa-
par... Primer consent morir. jNo vui jo entregar-
me a ca-meua mans buides, amb tant com m' ha
costat de trobar i de pendre aquesta bona d' Amor.

A la fí troba un pou, treu un poal d'aigo, i
xapa sa derrera taronge.

Ja ho crec que també hi va haver una fadrineta
com un sol, però com es sol més hermós que se
puguen pensar enteniments de criatures.

Amb tot i esser ses altres dues tan garrides,
devora ella no eren vistables, eren morques..— .
Encara no va esser fora de sa taronge, com diu:
—iBernadet, Bernadet, dam aigo: si no, m'
autecl

En Bernadet li atica es cap dins es poal, cla-
mant: )

—iBeu fins que tengues begueral

Il pogué beure tot lo que va voler.

En Bernadet pegà també una bona tímbola.

iOh que hi estava de xelest, i que hi anava de
xaravel'lo, com se veia devant aquella tadrineta
maravellosa, devant /' amor de les tres tarongesJ

No sabía que 's feia: botava, i saltava, i tenía
por term de esclatar d' alegría.

—No res, diu ell: a ca-nostra tenim ses feines,
i a casar-mos abans de més remor.

—Ja ho hauríem d' esser diu ella.

Ell munta a cavall, ella se posa a ses anques,

: i de d' allà s' ha dit cap a ca 'n Bernadet.

Camina caminaràs, des cap d'un parei de díes
destriaren la Ciutat, que estava demunt un puig, i

era ben gran i ben vistosa.
",NA
96,"86 RONDAIES MALLORQUINES

Troben un pou a sa vorera des camí.

—eSabs que terem2 diu ell: tu devalles, i no 't
mous d'aquí, i jo aniré a menar es cotxo i tot
s' acompanyament que mos estableix.

—Deixeu anar an això, diu ella. Ja arribarem
així meteix sensa cotxo, en no esser que 's cavall
se rete.

—Es cavall no se retrà, si Deu ho vol, però
veus: no està be que mos presentem tots dos ple-
gats cop en sec i a les sordes. La gent e-hi troba-

ría que dir, i mon pare i ma mare ho pendríen
tort. Creu-me, tu esperem devora aquest pou: i
dins un moment som aquí. jjas aquest anell per
penyoral

I n'hi dona un tot d'or i diamants.

Ella el pren, el se posa, i devalla des cavall
amb llàgrimes an ets uis, es cor nuat de pena, i
dient:

—iPer amor de Deu, Bernadet, torna prest:

—Molt pots trissar tu, però encara t'assegur
que fris més jo, diu ell.

Dona esperó an es cavall cap a la Ciutat, i po-
deu creure que' n teia de vía.

El colombra un negret de demunt sa torre més
alta, que d'orde del Rei guaitava sempre amb
una trompeta amb sa mà per donar avís tot d' una
que 'l ves venir, i pega cop de trompeta, cridant
amb tota sa força:

—iEl príncep vel jel príncep vel iel príncep vet

Sentir aquella veu, i alçar-se tot-hom, i Sortir-li l
al enquantre, va esser tot u.

Com se suposa, el Rei i la Reina foren es de
devant, i podeu pensar ets abraços, aterrades p'es
coll i besades que li daren, i ses festes i xicotines
que li feia tota la cort i tota la Ciutat.
",NA
97,"/
L' AMOR DE LES TRES TARONGES 87 f
4

—el que vens de buito li digueren son pare i sa
mare.

—iQue he de venirl diu ell. iBen de ple venc
jol

—eiQue vol dir2 éL' has trobada a / amor de
les tres tarongesP.

OO —L'he trobada i la duc.

—él aont esP

—An es pou d'aquí baix, que mos espera que
hi anem amb so cotxo i tot s' acompanyament.

Aquí el Rei passa orde de que s' enrenc la cosa,
i que se pos tot a punt de pastora mía, i que no
hi talt cap gra a sa dobla.

Criats i criades i tot-hom s' hi posen, i vos asse-
gur que traullaven, i se treien es fret de peus, i
s' afanyaven tot lo que poríen, i En Bernadet que
no feia més que córrer d' una banda a s' altré, cri-
dant:

—iHala si feis víal... jespediul... ijdepressal

Mentres tant, /' amor de les tres taronges, em-
pagaída de que la vessen allà tota solina es qui

o passassen, s' en puja dalt un noguer que becava
demunt es pou.

Està qui està, s' entrega a dur-se 'n un viatge
d' aigo una esclava d' una fornera, més lletja que
'l pecat. Dir que pareixía teta amb sa destral gros-
sa i que no més l' havíen mig embastada, es dir
massa poc. Per dir-ho així com era, pareixía feta
amb so mol'lo de fer llamps.

Sa derrera pussa que li picà que demunt es no-
guer e-hi hagués ningú.

: Quant treia ses gerres, veu dins es pou s' imat-
ge d' aquella tadrineta, i sa beula se cregué que
era sa seua propia, i ja se posa a dir:
",NA
98,"88 RONDAIES MALLORQUINES

—jiBon re cap de re cotril ija som guapa jo
ferm, i no me 'n era temudal jAquesta si que m' es

Dn-e qu blaval... cAn aquíP éJo, tan guapa i tan bella, ha-
ci ver d'esser esclava d'una fornera2 jTrinqueni
itrinquen les gerresi

I clif, clif, clif, trenca ses quatre gerres.

Se 'n torna an es torn, i diu:

—Ses gerres se son rompudes. iVenguen unes
altres, si voleu que vos dugue aigo.

Sa fornera n' hi dona unes altres, noves de trin-
ca, i s' esclava se 'n torna an es pou.

Quant treia ses gerres, veu de bell nou s' imat-
ge d' aquella fadrineta, i sa beula se torna creure
que es sa seua propia, i diu:

—jBon re cap de re cotrit éNo hu dic jo que

som una hermosura, i no me 'n era adonada2 çAn -€
aquí2... dJo, tan guapa i tan bella, haver de esser
esclava d' una tornera2... iTrinquinl itrinquin les
gerresi /

I clif, clif, clif, trenca ses quatre gerres.

Se '""n va an es torn, i diu amb uns morros d' un
paum.

—Ses gerres se son rompudes.

—jiAltre pic, Toni Colaul diu sa fornera. Ell,
segons veig, sortiràs cara per ses gerresi i Tu 10
que cerques, tastar sa verga de boul iBouetge un
poc, i veuràs si ho es saborosal

Per sortir-ne d' una vegada, li dona unes gerres
d'aram, dient:

—iAra ho he de veure si també les romprés an
aquestesi i.Ja seràs el dimoni si les rompsi

Se 'n torna sa pertafè a dur aigo amb ses ge--—
rres d'aram: i ja ho crec que, com les afica dins
es pou, veu de bell nou s' imatge d' aquella fadri-
",NA
99,"L'AMOR DE LES TRES TARONGES 89
neta dins s'aigo, i llevó sí que s' ho va creure
que era sa seua propia, i comença a descapdellar:

—iBon re cap de re cotril éNo hu dic jo que I
som s'atlota més hermosa que escaufa es solP
cAn aquí eJo, tan guapa i tan bella, haver, d'o Àn-e que
esser esclava d'una tornera2... iTrinquenl itrin-
quen les gerresi

Ja les tira en terra amb tota sa força, i les hi
torna tirar, les fa pegar per ses roques, les ente-
ferra pedra y altre pedra.

Una mica se copetjaren i S' aclocaren, però no
se romperen.

—iMal llamp ses gerresl deia ella, fent sa fel,
taiant claus. ,

Se sería tornada a un puat.

Sa tadrineta de dalt es noguer, veent allò no
pogué aguantar pus, i esclateix de riure, ben fort.

S' esclava alça és cap, mira arreu, i la m' afina
dalt es noguer.

Sa primera idea fonc de pujar-hi i tirar-la de
cap dins es pou, però se'n pensà una altre: tin-
geix una estranyesa plena d' alegría, i li diu:

—iO fieta meua dolça des meu cort éque fas
aquí dalt, hermosissim xeretíP Devalla, mirai des
meus uis, i conversarem una estona, i m' espassa-
rà Sa rabiada que he presa.

Sa fadrineta devalla, mouen conversa: i va
esser tan paner foradat, que al punt hagué dit a
s'esclava qui era ella, i com estava amb so fii
del Rei. l

s Quant s' esclava la sent, se'n pensà una de
feresta, i diu:

—iO que estic de contenta de lo que me con-
tesi Però, tieta: per rebre es fii del Rei i tot es
",NA
100,"90 RONDAIES MALLORQUINES
seu acompanyament i anar-te 'n a casar, dus
aquests cabeis, tan rossos i tan llarcs, un poc des-
carabutats... iDassa, t' esplugaré i te pentinaré
amb quatre grapadesi iSabs que s'es mester d'
anar d'enllestides per rebre un fii de Rei i tota .
la Cortl
Sa tadrineta, com qui mal no fa, mal no pensa,
ses derreres que tengué de sospitar-se gens d'
ella: li posa es cap demunt sa talda. Amb s' esplu-
gar-la i pentinar-la se condorm, s' esclava li treu
s' anell i el se posa, i li afica una guya an es
clotell.
Al acte sa tadrineta torna una colometa blanca,
i vola qui vola per allà. -
S' esclava se 'n puja demunt es noguer.
Al punt sent sa remor i es trepitx de tota la
cort, que se'n venía ben xarpada, i el Rei i la
Reina i En Bernadet devant devant.
Arriben an es pou, i s' esclava devalla des no-
guer tota remolesta, i diu:
—iO que t'ets torbat, Bernadetl iTampoc no
m' havíes de ter aquestal iPer avui t ho perdóni  -
Com En Bernadet, el Rei i la Reina i tota la
cort me veren aquella milana, color d'aram, que-
l ge Pl Ei pedra, done polsos, : l
/ 4 n En Bernadet sa cara li queia de empagait,
Cel 3 el Rei i la Reina se feien creus: la cort devall de-
vall teia qualque cosa més, i uns amb altres se
deien petit petit: 8
—iÓ quin diamantl iper ter por, val tan com
pesal iEll guardarà de mals pensamentsi jEll es
més comuna que alló qui putl... iBones fropís ha
tetes En Bernadetl
Sa polissona, veent que tot-hom era quedat
sensa paraula, se posa a dir:
",NA
101,"L'AMOR DE LES TRES TARONGES 91
—IEl sol i la serena I
m' han feta tornar morenal
(El sol i la lluna
m' han feta tornar comunal
(El sol i la serena
m' han feta tornar morenal
(El sol i la lluna .
m' han feta tornar comunal

En Bernadet mirà si duia s' anell que havía do-
nat a sa fadrineta, i ja hu crec que 'l va dur.

—No hi ha remei, digué l homo tot acongoxat,
es ella, maldement no hu parega. Sortí dona feta
de dins una taronge, i ara una mica de sol i de
lluna i de serena la m' han posada així. ecQue hi
faremP iPlanetes que hem de córrerl

El Rei i la Reina, per sortir d' aquells emblavins,
fan pujar s' esclava an es cotxo, i cap a la Ciutat,
i tota la cort derrera derrera.

—Mal camí passar-lo prest, diu el Rei.

Se'n van tot dret a la Seu, se fa es casament,
i al acte ses noces.

A s' esclava no hi havía qui li anés devant ni
derrera. (Com se veia sa dona des fii del Rei, i
dins quatre díes Reina:

No sé com no esclatà d' intlada que anava.

Estava asseguda a cap de taula, costat per
costat de 'n Bernadet, mirant a una part i altre,
sensa repós, com a picada d' aranya, i dient amb
Sos uis, Si no amb sa boca:

—jiEstau-me alerta tots, i vel'lau-me be es ba-

. tuts, que tenc males voltes termi jiQui la 'm fa,
la 'm pagal

Començen a dinar, i a mitjàn arrós compareix
una colometa blanca, sa cosa més puriticada,
",NA
